millis, accelx, accely, accelz, v_x, v_y, v_z, p_x, p_y, p_z
0.034, -0.0035766661, -0.007045202, 0.03824711, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0011840761, -0.0046526194, 0.03166771, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.004772961, -0.0040544793, 0.02927494, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.002380371, -4.6560913E-4, 0.03166771, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0011840761, 0.0031232536, 0.028079033, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0024047792, 0.001328826, 0.036453247, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 6.1035156E-4, -0.0016618967, 0.036453247, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, -0.006567389, -0.0010637566, 0.02927494, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, -0.0029785335, 1.3253093E-4, 0.025686264, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.006567389, 1.3253093E-4, 0.023293495, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0119507015, -0.0010637566, 0.014920235, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, -0.002380371, 0.0025251135, 0.022097588, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.037, 6.1035156E-4, -0.0022600442, 0.02748108, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0012084842, 0.001328826, 0.025686264, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.011376947, 0.0043195486, 0.033462524, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0071899295, 0.003721401, 0.035256386, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0047973692, 0.008506559, 0.028676987, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.004199207, 0.0061139762, 0.028676987, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
